id,attrition,gender,age,maritalstatus,academic_degree,years_experience,years_experience_lastorganization,sector,department,jobtitle,monthlysalary,allowances,medicalinsurance,bonus,overtime,payment_overtime,rewards_wages_satisfaction,get_deserved_promotion,training_programs_during_last_three_years,useful_training_programs,business_travel,job_support,recognition,emotional_commitment,job_engagement,distance_to_work,work_live_balance,physical_stress,psychological_exhaustion,job_stability,health_issues,environment_satisfaction,job_satisfaction,job_opportunities,age_group,salary_band,attrition_label
241,1,Female,31 to 40,Married,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Doctor,From 5000 to 10000 S.R,1,Yes,No,No,Yes,No,No,I did not receive any training,No,I do not travel for work,Medium,Yes,Medium,Medium,Close,Difficult,Sometimes,Sometimes,No,Yes,Medium,Not satisfied,No,31 to 40,From 5000 to 10000 S.R,Left
242,0,Female,21 to 30,Married,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Doctor,From 5000 to 10000 S.R,1,Yes,No,No,No,No,No,I did not receive any training,No,I do not travel for work,Medium,No,Medium,Medium,Close,Difficult,Yes,Yes,No,No,Medium,Not satisfied,No,21 to 30,From 5000 to 10000 S.R,Stayed
243,1,Male,41 to 50,Married,Diploma or secondary,From 21 to 25 years,From 5 to 10 years,Medical sector,Medical service,Supervisor,From 5000 to 10000 S.R,0,Yes,No,Yes,Yes,Yes,Yes,From 1 to 3 training programs,Yes,Travel rarely,High,Yes,High,Easy,Medium,Easy,Yes,No,Yes,No,High,Very satisfied,Yes,41 to 50,From 5000 to 10000 S.R,Left
244,1,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Communications and IT sector,Customers service,Customer services representative,Less than 5000 SAR,1,No,Yes,No,I don't have overtime,No,No,I did not receive any training,No,Travel rarely,Low,No,Low,Medium,Close,Easy,Yes,Yes,No,Yes,Low,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Left
245,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Radiographer,Less than 5000 SAR,0,Yes,No,Yes,Yes,No,No,I did not receive any training,Yes,I do not travel for work,Low,No,High,Medium,Close,Medium,Yes,Yes,No,No,Low,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Stayed
246,0,Female,31 to 40,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Nurse,Less than 5000 SAR,0,Yes,No,No,Yes,No,No,I did not receive any training,No,I do not travel for work,Low,No,Low,Easy,Close,Medium,No,No,No,No,High,Not satisfied,No,31 to 40,Less than 5000 SAR,Stayed
247,1,Female,21 to 30,Single,Bachelor's,From 5 to 10 years,Less than 5 years,Medical sector,Patient Affairs,Radiographer,Less than 5000 SAR,0,No,No,Yes,Yes,No,No,I did not receive any training,No,I do not travel for work,Low,No,Low,Difficult,Medium,Difficult,Yes,Sometimes,No,No,Low,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Left
248,1,Female,21 to 30,Single,Bachelor's,From 11 to 15 years,From 5 to 10 years,Education sector,Teaching,Teacher,Less than 5000 SAR,1,Yes,No,Yes,Yes,No,No,I did not receive any training,Yes,I do not travel for work,Low,No,Medium,Easy,Medium,Difficult,Sometimes,No,No,No,Medium,Satisfied,Yes,21 to 30,Less than 5000 SAR,Left
249,1,Female,21 to 30,Single,Bachelor's,From 5 to 10 years,Less than 5 years,Food production sector,Sales,Sales executive,From 5000 to 10000 S.R,3,Yes,No,Yes,Yes,No,No,I did not receive any training,No,I do not travel for work,Low,No,Medium,Difficult,Far,Medium,Yes,Yes,No,Yes,Medium,Not satisfied,Yes,21 to 30,From 5000 to 10000 S.R,Left
250,1,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Nurse,Less than 5000 SAR,0,No,No,Yes,No,No,No,From 1 to 3 training programs,Yes,I do not travel for work,Low,No,Medium,Difficult,Close,Difficult,Sometimes,Sometimes,No,No,Low,Not satisfied,No,21 to 30,Less than 5000 SAR,Left
251,1,Male,31 to 40,Married,Bachelor's,From 11 to 15 years,Less than 5 years,Medical sector,Patient Affairs,Nurse,Less than 5000 SAR,1,Yes,Yes,Yes,Yes,No,No,From 1 to 3 training programs,Yes,I do not travel for work,Medium,No,Medium,Medium,Medium,Difficult,Sometimes,Sometimes,No,No,Medium,Satisfied,No,31 to 40,Less than 5000 SAR,Left
252,1,Male,21 to 30,Single,Diploma or secondary,Less than 5 years,Less than 5 years,Transport sector,Customers service,Customer services representative,Less than 5000 SAR,1,No,Yes,Yes,Yes,No,No,I did not receive any training,Yes,I do not travel for work,Low,Yes,Medium,Medium,Medium,Medium,Sometimes,Sometimes,Yes,No,High,Very satisfied,No,21 to 30,Less than 5000 SAR,Left
253,1,Female,41 to 50,Single,Bachelor's,From 11 to 15 years,Less than 5 years,Education sector,Teaching,Teacher,Less than 5000 SAR,0,No,No,No,No,No,No,From 7 training programs to more,Yes,I do not travel for work,Low,No,Low,Easy,Close,Medium,Yes,Yes,No,Yes,Medium,Not satisfied,Yes,41 to 50,Less than 5000 SAR,Left
254,0,Female,41 to 50,Married,Diploma or secondary,From 16 to 20 years,From 16 to 20 years,Education sector,Administration,Supervisor,Less than 5000 SAR,2,Yes,Yes,No,I don't have overtime,Yes,Yes,From 4 to 6 training programs,Yes,I do not travel for work,Medium,Yes,High,Easy,Medium,Medium,Sometimes,No,Yes,No,High,Very satisfied,No,41 to 50,Less than 5000 SAR,Stayed
255,1,Female,21 to 30,Single,Bachelor's,From 5 to 10 years,From 5 to 10 years,Medical sector,Administration,Manger assistant,From 5000 to 10000 S.R,1,Yes,No,No,No,No,No,From 1 to 3 training programs,No,I do not travel for work,Medium,Yes,Medium,Medium,Close,Easy,Yes,Yes,No,No,Low,Not satisfied,Yes,21 to 30,From 5000 to 10000 S.R,Left
256,1,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Dentist,From 5000 to 10000 S.R,1,Yes,No,No,I don't have overtime,Yes,Yes,From 1 to 3 training programs,Yes,Travel rarely,High,Yes,High,Easy,Close,Easy,Yes,No,Yes,No,High,Very satisfied,No,21 to 30,From 5000 to 10000 S.R,Left
257,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Tourism sector,Administration,Supervisor,Less than 5000 SAR,0,No,No,No,I don't have overtime,No,No,I did not receive any training,No,I do not travel for work,Medium,Yes,Medium,Medium,Medium,Difficult,Yes,Sometimes,No,No,Medium,Very satisfied,Yes,21 to 30,Less than 5000 SAR,Stayed
258,0,Female,21 to 30,Married,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Customers service,Customer services representative,Less than 5000 SAR,1,Yes,No,No,I don't have overtime,No,No,I did not receive any training,No,I do not travel for work,Medium,No,Medium,Medium,Close,Medium,Sometimes,No,Yes,No,Low,Satisfied,No,21 to 30,Less than 5000 SAR,Stayed
259,0,Female,41 to 50,Married,Diploma or secondary,Less than 5 years,Less than 5 years,Education sector,Administration,Manger assistant,Less than 5000 SAR,0,No,No,No,I don't have overtime,No,No,From 1 to 3 training programs,Yes,I do not travel for work,Low,No,Medium,Medium,Medium,Easy,Sometimes,Sometimes,No,No,Medium,Not satisfied,Yes,41 to 50,Less than 5000 SAR,Stayed
260,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Law firm,Legal Affairs,Lawyer,Less than 5000 SAR,0,No,No,Yes,No,No,No,I did not receive any training,No,I do not travel for work,Low,No,Low,Difficult,Far,Medium,Yes,Yes,No,No,Low,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Stayed
261,1,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Communications and IT sector,Customers service,Customer services representative,Less than 5000 SAR,2,Yes,Yes,No,I don't have overtime,No,No,From 1 to 3 training programs,Yes,I do not travel for work,High,Yes,Medium,Medium,Close,Easy,Yes,Sometimes,No,No,Medium,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Left
